"key","value","display_string","unit","source_script","note"
"modular_unit_cost_in_code","1200000","$1.2M","USD","R/60_cost_layer.R, R/61_cost_annualised.R","SOURCED 2026-09-23: NYC Parks' $6M five-unit Portland Loo pilot = $1.2M/unit budgeted (reported outturn ~$1.0M/site: $185k unit + ~$815k utilities/site work). See external.modular_portland_loo. Compare modular_pilot_implied_per_unit_year (service contract, not capital)"
"shortlist_annual_cost_total","2127670","$2.13M","USD per year","R/61_cost_annualised.R -> model_shortlist_costed","modular + reconstruction annualised over 20 yr at the central rate; hours at the labelled wage assumption"
"discount_rate_programme","0.03","3%","rate","R/61_cost_annualised.R","central rate used everywhere (61 shortlist costing, 94 break-even, A2 corrected median); sensitivity 2%/5% in 94"
"discount_rate_breakeven","0.03","3%","rate","R/94_breakeven.R (A <- crf(MED,20,r))","central break-even rate; must equal discount_rate_programme"
"breakeven_annual_cost","104789","$104,789","USD per year","R/94_breakeven.R","numeric-only median project, 20 yr @ 3%"
"pooled_median_annualised","156680","$156,680","USD per year","R/A2_cost_bands.R","pooled_project_median over 20 yr @ 3%"
"pooled_cost_per_use_200day","2.1463","$2.15","USD per use","derived here from pooled_median_annualised","at 200 uses/day = 73,000/yr (94's per-use grid)"
"hours_extension_areas","10","10","NTAs","R/C1_trial_power.R","shortlisted areas whose fix is 'Extend operating hours'"
"hours_extension_facilities","51","51","facilities","R/C1_trial_power.R","restrooms inside those areas (post geography fix; the site's 44 came from a stale investment table)"
"hours_extension_annual","2606100","$2.6M","USD per year","R/C1_trial_power.R / R/61_cost_annualised.R","51 facilities x 4 h x 365 x $35/h (wage and hours are labelled ASSUMPTIONS in 61). The site shows hours as $0 CAPITAL; this is the recurring cost"
"hours_extension_trial_10mo","2171750","$2.2M","USD","R/C1_trial_power.R","10-month staggered trial"
"hours_extension_10yr_undiscounted","26061000","$26.1M","USD","derived here from hours_extension_annual","10 years, no discounting"
"hours_extension_10yr_pv","22230600","$22.2M","USD","derived here from hours_extension_annual","present value, 10 years at 3% (61's rate)"
"trial_mde_summons","0.374872","37%","smallest detectable change","R/C1_trial_power.R","1,301 deduped summonses over 3.5 yr in the trial areas, 80% power, 5% two-sided"
"trial_mde_311_all","1.56462","156%","smallest detectable change","R/C1_trial_power.R","311, all channels"
"trial_mde_311_phone","4.32626","433%","smallest detectable change","R/C1_trial_power.R","311, phone only"
"ll58_gap","1145","1,145","facilities","external ll58_target - restrooms_operational","2,120 - 975. Using the Council's 973 gives 1,147 — do not mix"
"modular_pilot_implied_per_unit_year","235294","$235k","USD per unit-year","external pilot","$4M / 17 units / 1 year. A SERVICE CONTRACT (units + cleaning + maintenance), not capital — not directly comparable with the $1.2M capital assumption"
"ddc_per_building","3860000","$3.86M","USD","external ddc_build","corroborates build_new_median"
"nyc_population_acs","8483840","8,483,844","residents","data_raw/census_acs5_2024_tract","ACS 5-yr 2024, sum of tracts"
"restrooms_per_100k_now","11.4924","11.5","per 100k residents","restrooms_operational / nyc_population_acs",""
"restrooms_per_100k_target","24.9887","25.0","per 100k residents","external ll58_target / nyc_population_acs","at today's population"
"hub_top50_walk_min_wed_14","3.7","3.7 min","minutes (straight line, lower bound)","R/C2_hub_open_access.R","top-50 hubs, entry-weighted, Wednesday, off-season placeholder close 16:00; 4 of 50 with none open within 500 m"
"hub_top50_walk_min_wed_18","6.2","6.2 min","minutes (straight line, lower bound)","R/C2_hub_open_access.R","top-50 hubs, entry-weighted, Wednesday, off-season placeholder close 16:00; 21 of 50 with none open within 500 m"
"hub_top50_walk_min_wed_21","13.7","13.7 min","minutes (straight line, lower bound)","R/C2_hub_open_access.R","top-50 hubs, entry-weighted, Wednesday, off-season placeholder close 16:00; 43 of 50 with none open within 500 m"
"pilot_cost_per_planned_open_hour","42.9761","$42.98","USD per planned unit-open hour","external pilot","$4M / (17 units x 15 h x 365). PLANNED hours: the metric we recommend divides by VERIFIED open hours"
"outcome_window_years","6.71047","6.71","years","data_raw/nyc311_urination_* (80_corrections.R logic)",""
"cheapest_per_excess_per_year","East Harlem (North); Extend operating hours; 5199","East Harlem (North), Extend operating hours, $5,199 per excess complaint per year","USD per excess complaint per year","R/61_cost_annualised.R -> model_shortlist_costed, excess / window years","same ranking as per_excess (a constant rescaling)"
"cheapest_per_excess_second","Astoria (East)-Woodside (North); Build new / modular unit; 14727","Astoria (East)-Woodside (North), Build new / modular unit, $14,727","USD per excess complaint per year","R/61_cost_annualised.R -> model_shortlist_costed",""
"programme_hours_running_cost","511000","$0.51M","USD per year","R/61_cost_annualised.R convention","10 hours areas x one restroom x 4 h x 365 x $35/h (one facility per area, like-for-like)"
"cheapest_per_excess_first","East Harlem (North); Extend operating hours; 775","East Harlem (North), Extend operating hours, $775 a year per excess complaint over the 2020-26 window","USD a year per excess complaint over the whole 2020-26 window (NOT per excess complaint per year)","R/61_cost_annualised.R -> model_shortlist_costed","annual cost divided by the window's total excess; the per-year figure is cheapest_per_excess_per_year"
"first_repair_rank","7","7","rank","R/61_cost_annualised.R","rank of the first reconstruction in cost per excess complaint"
"hours_cost_per_area_year","51100","$51,100","USD per year","R/61_cost_annualised.R (cost_of)","61 prices 'extend hours' as ONE extra attendant per AREA, not per restroom"
"cheapest_per_excess_if_hours_per_restroom","Astoria (East)-Woodside (North); Build new / modular unit; 2195","Astoria (East)-Woodside (North), Build new / modular unit, $2,195 per excess complaint a year","USD per excess complaint per year","derived here from model_shortlist_costed","hours priced per restroom; East Harlem (North) then ranks 9"
"east_harlem_rank_if_hours_per_restroom","9","9","rank","derived here from model_shortlist_costed",""
"hours_flip_wage","100","$100/h","USD per staffed hour","R/61_cost_annualised.R (w_flip)","hourly staffing cost at which extending hours stops being the cheapest option (searched in $5 steps)"
"hours_wage_assumption","35","$35/h","USD per staffed hour","R/61_cost_annualised.R (WAGE)","ASSUMPTION, loaded attendant wage"
"hours_extra_per_day","4","4","hours/day","R/61_cost_annualised.R (EXTRA_H)","ASSUMPTION"
"pip_long_term_closed","80; 46; 736","80 of 736 (46 for repairs)","comfort stations","data_raw/pipRestrooms_9byw-znpj","PIP long-term closure flag (undated, current state)"
"capital_median_years","5.24572","5.2 years","years design start -> construction complete","R/A7_repair_vs_build.R (ct)","median over 119 completed restroom projects in the capital tracker"
"restrooms_in_parks","824","824 of 1,066","facilities","data_raw/nycrestrooms_i7jb-7jku","location_type == Park, all statuses"
"open_24h_names","Grand Central Parkway Gas; Grand Central Parkway Gas; Shore Parkway Gas Station; Cunningham Gas Station; Hutchinson River Parkway Gas; Major Deegan No. Gas Station; Major Deegan So. Gas Station; Hutchinson River Prkwy Snack","Grand Central Parkway Gas; Grand Central Parkway Gas; Shore Parkway Gas Station; Cunningham Gas Station; Hutchinson River Parkway Gas; Major Deegan No. Gas Station; Major Deegan So. Gas Station; Hutchinson River Prkwy Snack","names","R/80_corrections.R §4 logic","the 8 '24-hour' facilities — parkway gas stations and a snack bar, not walk-in public toilets"
"complaints_peak_hour","18","18:00","hour of day","R/70_audit_checks.R","de-duplicated series; 311 filing time"
"complaints_evening_share","0.29898","30%","share filed 18:00-23:59","R/70_audit_checks.R","de-duplicated series"
"coverage_3pm_landweighted","0.177766","18%","share of residential NTA land within 5 min of an open restroom","R/B1_small_maps.R","land-weighted; genuine-hours facilities only"
"coverage_9pm_landweighted","0.0210173","2%","share of residential NTA land within 5 min of an open restroom","R/B1_small_maps.R","land-weighted; genuine-hours facilities only"
"coverage_3pm","0.240167","24%","mean share of NTA land within 5 min of an open restroom","R/B1_small_maps.R","genuine-hours facilities only (placeholder hours excluded)"
"coverage_9pm","0.0346874","3.5%","mean share of NTA land within 5 min of an open restroom","R/B1_small_maps.R","genuine-hours facilities only (placeholder hours excluded)"
"hours_areas_all_placeholder","0","0 of 10","hours areas","R/60_cost_layer.R (rule: median posted day < 9 h, or none open to 22:00)","areas where EVERY year-round restroom carries the placeholder; 10 rest on at least one genuine posted schedule"
"hours_areas_hold_on_real_hours","9","9 of 10","hours areas","R/60_cost_layer.R rule re-applied to genuine-hours restrooms only","areas still classed 'close early' once placeholder-hours restrooms are dropped"
"hours_areas_with_real_hours","10","10","hours areas","R/60_cost_layer.R",""
"midtown_classification","Monitor / already served; 14; 85","Monitor / already served; 14 restrooms; 85% of land covered","","R/60_cost_layer.R -> model_nta_interventions",""
"six_actions","East Harlem (North)=Extend operating hours; Astoria (East)-Woodside (North)=Build new / modular unit; East Elmhurst=Reconstruct or repair; Williamsbridge-Olinville=Reconstruct or repair; Brighton Beach=Reconstruct or repair; Midtown-Times Square=Monitor / already served","East Harlem (North): Extend operating hours; Astoria (East)-Woodside (North): Build new / modular unit; East Elmhurst: Reconstruct or repair; Williamsbridge-Olinville: Reconstruct or repair; Brighton Beach: Reconstruct or repair; Midtown-Times Square: Monitor / already served","","R/60_cost_layer.R + A6",""
"astoria_posterior_rank","2","2nd","rank by posterior probability","R/A6_empirical_bayes.R",""
"channel_online_cor","0.311225","0.31","Pearson r across community boards","R/A4_reporting_channel.R","de-duplicated complaints vs share filed online"
"rank_all_midtown","17","17th","rank of 197, all channels","R/70_audit_checks.R",""
"phone_only_drops_among_six","4","4","of the six high-confidence areas","R/70_audit_checks.R + A6","fall outside the phone-only top 25"
"phone_only_survivors","East Elmhurst; Brighton Beach","East Elmhurst; Brighton Beach","names","R/70_audit_checks.R + A6","high-confidence areas still in the phone-only top 25"
"phone_rank_east_harlem","41","41st","rank of 197 on phone-only reports","R/70_audit_checks.R","East Harlem (North)"
"phone_rank_astoria","121","121st","rank of 197 on phone-only reports","R/70_audit_checks.R","Astoria (East)-Woodside (North)"
"phone_rank_williamsbridge","50","50th","rank of 197 on phone-only reports","R/70_audit_checks.R","Williamsbridge-Olinville"
"phone_rank_midtown","42","42nd","rank of 197 on phone-only reports","R/70_audit_checks.R","Midtown-Times Square"
"summons_alcohol_cor","0.95085","0.95","Spearman across NTAs","R/91_rebuild_outcome.R","urination summonses vs alcohol summonses: tracks enforcement"
"winter_irr_main","0.62408","0.624","IRR","R/93_winterization.R","urination summonses, seasonal x winter"
"winter_irr_placebo","0.699162","0.699","IRR","R/93_winterization.R","alcohol summonses (placebo)"
"inspectors_both_years","7","7","inspectors","R/A8_condition_trend.R","rated comfort stations in both 2024 and 2026"
"inspector_litter_2024_2026","0.0164534; 0.0114286","0.016 -> 0.011","fail share","R/A8_condition_trend.R","same seven inspectors"
"inspector_structural_2024_2026","0.0440882; 0.209503","0.044 -> 0.210","fail share","R/A8_condition_trend.R","same seven inspectors"
"commercial_supply_rank_cor","0.997154","0.997","Spearman","R/96_commercial_supply.R","ranking with vs without 1,886 chain outlets"
"posterior_top_values","1; 0.9999; 0.9997; 0.9986; 0.9969; 0.9669","East Harlem (North) >0.999; Astoria (East)-Woodside (North) >0.999; East Elmhurst >0.999; Williamsbridge-Olinville 0.999; Brighton Beach 0.997; Midtown-Times Square 0.967","posterior probability","R/A6_empirical_bayes.R","P(true relative risk > 1.5)"
"rows_restrooms","1066","1,066","rows as pulled","data_raw/nycrestrooms_i7jb-7jku_20260920.csv",""
"rows_urination311","8193","8,193","rows as pulled","data_raw/nyc311_urination_publictoilet_erm2-nwe9_20260920.csv",""
"rows_dirty311","108775","108,775","rows as pulled","data_raw/nyc311_dirtycondition_erm2-nwe9_20260920.csv",""
"rows_oath_urination","27384","27,384","rows as pulled","data_raw/nypd_oath_urination_hxbk-grd3_20260920.csv",""
"rows_oath_alcohol","163329","163,329","rows as pulled","data_raw/nypd_oath_alcohol_placebo_hxbk-grd3_20260920.csv",""
"rows_acs_tracts","2327","2,327","rows as pulled","data_raw/census_acs5_2024_tract_demographics_20260920.csv",""
"rows_lodes","25445","25,445","rows as pulled","data_raw/census_lodes8_nywac2023_20260920.csv",""
"rows_tlc","138706","138,706","rows as pulled","data_raw/tlc_c5iv-bn4s_zonemonth_20260920.csv",""
"rows_mta_monthly","48255","48,255","rows as pulled","data_raw/mta_ak4z-sape_monthly_20260920.csv",""
"rows_mta_stations","496","496","rows as pulled","data_raw/mta_39hk-dx4f_stations_20260920.csv",""
"rows_hotels","14010","14,010","rows as pulled","data_raw/nyc_tjus-cn27_hotels_20260920.csv",""
"rows_parks","2061","2,061","rows as pulled","data_raw/parksprops_enfh-gkve_20260920.csv",""
"rows_capital","2787","2,787","rows as pulled","data_raw/capitaltracker_4hcv-tc5r_20260920.csv",""
"rows_pip_master","152484","152,484","rows as pulled","data_raw/pipInspectionsMaster_yg3y-7juh_20260920.csv",""
"rows_pip_sites","6406","6,406","rows as pulled","data_raw/pipAllSites_buk3-3qpr_20260920.csv",""
"rows_park_structures","2857","2,857","rows as pulled","data_raw/parkstructures_n8q6-i44s_20260920.csv",""
"rows_covid_closures","672","672","rows as pulled","data_raw/csclosurecovid_i5n2-q8ck_20260920.csv",""
"rows_taxi_zones","263","263","rows as pulled","data_raw/nyc_8meu-9t5y_taxizones_20260920.csv",""
"rows_cultural","2535","2,535","rows as pulled","data_raw/nyc_u35m-9t32_cultural_20260920.csv",""
"rows_pedcounts","114","114","rows as pulled","data_raw/nyc_cqsj-cfgu_pedcounts_20260920.csv",""
"rows_chains","1886","1,886","rows as pulled","data_raw/commercial_chains_dohmh_20260920.csv",""
"rows_pip_restrooms","736","736","rows as pulled","data_raw/pipRestrooms_9byw-znpj_20260920.csv",""
"n_datasets_listed","22","22","datasets","this block","raw datasets listed on the Data & code tab"
"n_scripts","57","57","R scripts","R/","count of R/*.R"
"pilot_n_sites","17","17","sites","R/P1_pilot_sites.R -> outputs/pilot_sites.json","published names only; exact unit spot inside a park or plaza is not published"
"pilot_in_six","1","1 of 17","pilot sites","R/P1_pilot_sites.R","in one of the six high-confidence areas: Northern Boulevard and 54th Street (on the NTA boundary; Woodside, one of the 29, is across the street)"
"pilot_in_29","3","3 of 17","pilot sites","R/P1_pilot_sites.R","in one of the 29 areas at >= 1.5x (includes the one in the six): Northern Boulevard and 54th Street; 34th Avenue and 64th Street; North Shore Esplanade"
"pilot_neither","14","14 of 17","pilot sites","R/P1_pilot_sites.R","outside every one of the 29 priority areas"
"pilot_sites_queens","4","4","pilot sites","R/P1_pilot_sites.R","western Queens: Astoria Boulevard South and 31st Street -> Astoria (Central); Northern Boulevard and 31st Street -> Queensbridge-Ravenswood-Dutch Kills; Northern Boulevard and 54th Street -> Astoria (East)-Woodside (North); 34th Avenue and 64th Street -> Woodside"
"pilot_median_ratio_rank","82","82nd of 197","rank of the site's NTA by need ratio","R/P1_pilot_sites.R","median over the 17 sites (1 = highest need ratio)"
"restrooms_open_9pm_wed","57","57","operational restrooms open","R/C4_area_evening_access.R","Wednesday 9pm; the same in-season (57). 6pm: 156 off-season, 797 in-season; 2pm: 954"
"six_walk_9pm_complaints_min","Astoria (East)-Woodside (North)=47.6; Williamsbridge-Olinville=36.6; Brighton Beach=25.5; East Harlem (North)=24.5; East Elmhurst=23.1; Midtown-Times Square=7.9","Astoria (East)-Woodside (North) 47.6 > Williamsbridge-Olinville 36.6 > Brighton Beach 25.5 > East Harlem (North) 24.5 > East Elmhurst 23.1 > Midtown-Times Square 7.9","median straight-line walk (min) from each complaint to the nearest restroom open at 9pm, Wednesday","R/C4_area_evening_access.R (origin = complaints)","worst first; 72 m/min, lower bounds; same order from evening-filed complaints"
"walk_9pm_astoria_east","47.61","47.6 min","minutes","R/C4_area_evening_access.R","Astoria (East)-Woodside (North) - median walk from complaints to the nearest restroom open at 9pm"
"walk_9pm_williamsbridge_olinville","36.6","36.6 min","minutes","R/C4_area_evening_access.R","Williamsbridge-Olinville - median walk from complaints to the nearest restroom open at 9pm"
"walk_9pm_brighton_beach","25.54","25.5 min","minutes","R/C4_area_evening_access.R","Brighton Beach - median walk from complaints to the nearest restroom open at 9pm"
"walk_9pm_east_harlem","24.51","24.5 min","minutes","R/C4_area_evening_access.R","East Harlem (North) - median walk from complaints to the nearest restroom open at 9pm"
"walk_9pm_east_elmhurst","23.06","23.1 min","minutes","R/C4_area_evening_access.R","East Elmhurst - median walk from complaints to the nearest restroom open at 9pm"
"walk_9pm_midtown_times","7.93","7.9 min","minutes","R/C4_area_evening_access.R","Midtown-Times Square - median walk from complaints to the nearest restroom open at 9pm"
"six_restrooms_open_9pm","East Harlem (North)=0; Astoria (East)-Woodside (North)=0; East Elmhurst=2; Williamsbridge-Olinville=0; Brighton Beach=0; Midtown-Times Square=6","East Harlem (North) 0; Astoria (East)-Woodside (North) 0; East Elmhurst 2; Williamsbridge-Olinville 0; Brighton Beach 0; Midtown-Times Square 6","restrooms open at 9pm inside each of the six","R/C4_area_evening_access.R",""
"hotspot_east_harlem","place=E 122 St between 2nd and 3rd Ave; area_complaints=100; complaints=42; addresses=22; anchoring=mixed; anchored=3 of 5; station=125 St (4,5,6); station_m=316; listed=125th Street Library, NYPL; listed_m=226; open9_walk_min=24.2; owner=DOT (street) / private frontage; flags=; years=2021-2025; evening_night=0.36","E 122 St between 2nd and 3rd Ave: 42 complaints (22 addresses); mixed, 3 of 5 hot spots; owner DOT (street) / private frontage","","R/C5_hotspot_table.R -> outputs/hotspot_table.csv","East Harlem (North) - largest hot spot (DBSCAN 150 m / 5)"
"hotspot_astoria_east","place=28 Ave at 56 Pl, Woodside (North); area_complaints=59; complaints=36; addresses=3; anchoring=not anchored; anchored=0 of 2; station=46 St (M,R); station_m=902; listed=Astoria Heights Playground; listed_m=547; open9_walk_min=47.5; owner=DOT (street) / private frontage; flags=3 distinct addresses; complaints 2020-2022 only; years=2020-2022; evening_night=0.58","28 Ave at 56 Pl, Woodside (North): 36 complaints (3 addresses); not anchored, 0 of 2 hot spots; owner DOT (street) / private frontage; FLAG 3 distinct addresses; complaints 2020-2022 only","","R/C5_hotspot_table.R -> outputs/hotspot_table.csv","Astoria (East)-Woodside (North) - largest hot spot (DBSCAN 150 m / 5)"
"hotspot_east_elmhurst","place=25 Ave at 85 St, at Gorman Playground; area_complaints=36; complaints=20; addresses=12; anchoring=not anchored; anchored=0 of 1; station=82 St-Jackson Hts (7); station_m=1712; listed=Gorman Playground; listed_m=126; open9_walk_min=23.5; owner=Parks (adjacent park/playground); flags=; years=2022-2026; evening_night=0.65","25 Ave at 85 St, at Gorman Playground: 20 complaints (12 addresses); not anchored, 0 of 1 hot spots; owner Parks (adjacent park/playground)","","R/C5_hotspot_table.R -> outputs/hotspot_table.csv","East Elmhurst - largest hot spot (DBSCAN 150 m / 5)"
"hotspot_williamsbridge_olinville","place=Cruger Ave at Magenta St, by Gun Hill Playground; area_complaints=39; complaints=17; addresses=5; anchoring=mixed; anchored=1 of 2; station=Burke Av (2,5); station_m=360; listed=Gun Hill Playground; listed_m=47; open9_walk_min=36.8; owner=Parks (adjacent park/playground); flags=; years=2022-2026; evening_night=0.76","Cruger Ave at Magenta St, by Gun Hill Playground: 17 complaints (5 addresses); mixed, 1 of 2 hot spots; owner Parks (adjacent park/playground)","","R/C5_hotspot_table.R -> outputs/hotspot_table.csv","Williamsbridge-Olinville - largest hot spot (DBSCAN 150 m / 5)"
"hotspot_brighton_beach","place=Ocean Pkwy malls at the Ocean Pkwy (Q) station; area_complaints=24; complaints=4; addresses=4; anchoring=mixed; anchored=2 of 3; station=Ocean Pkwy (Q); station_m=22; listed=Brighton Beach Library, BPL; listed_m=151; open9_walk_min=17.9; owner=MTA / DOT (station exit, sidewalk); flags=thin area (24 complaints); thin hot spot (4); 4 distinct addresses; clusters found only at minPts 4; complaints 2020-2022 only; years=2020-2022; evening_night=0.25","Ocean Pkwy malls at the Ocean Pkwy (Q) station: 4 complaints (4 addresses); mixed, 2 of 3 hot spots; owner MTA / DOT (station exit, sidewalk); FLAG thin area (24 complaints); thin hot spot (4); 4 distinct addresses; clusters found only at minPts 4; complaints 2020-2022 only","","R/C5_hotspot_table.R -> outputs/hotspot_table.csv","Brighton Beach - largest hot spot (DBSCAN 150 m / 5)"
"hotspot_midtown_times","place=Central Park South at 57 St / 7 Ave; area_complaints=84; complaints=17; addresses=13; anchoring=station-anchored; anchored=5 of 5; station=57 St (M); station_m=128; listed=725 Fifth Avenue POPS; listed_m=340; open9_walk_min=4.7; owner=MTA / DOT (station exit, sidewalk); flags=; years=2020-2026; evening_night=0.12","Central Park South at 57 St / 7 Ave: 17 complaints (13 addresses); station-anchored, 5 of 5 hot spots; owner MTA / DOT (station exit, sidewalk)","","R/C5_hotspot_table.R -> outputs/hotspot_table.csv","Midtown-Times Square - largest hot spot (DBSCAN 150 m / 5)"
